Критерий условия	Значение условия
Хеш файла	SHA256=03446e7dc87a01a5eac65bc3d82b02a488393cd2d6bd213ab3d90ffca25d6456
Хеш файла	SHA256=5cdffc756334f16ea96c2ce51e95352fbb5593f8fe970d16a08ce7fae35ec7ac
Хеш файла	SHA256=7bedfaaed01a3ddb174b3874870b8d68aa8769284cc4ea3815df6b94ce45f0f6
Хеш файла	SHA256=20573f63a932f06d5033984256efd5d52e2c312a36d71078400de90def97ad1f
Хеш файла	SHA256=344de5b82b337e49c0f30748e0bc74afc1ebcf90df4bd0eed5298b5cd57282d9
Хеш файла	SHA256=7061169b0c1eb3f0fb0ec9a2f82f9fec8d813770eddfa9da059830619b431292
Хеш файла	SHA256=fd0f9f64005ec4dbe1d9ea0849ceab18e54aaedd20212f4a93c098a062cfee94
Хеш файла	SHA256=661cae8f7cf5696dff63f1bea95f243646fcbfc5dad90fb1335d05c597f13b34
Хеш файла	SHA256=770d93b6660afe081728efadbd66b3ea31a586c3003b668aa65e1ae1c946c2eb
Хеш файла	SHA256=bb243113d236f823abd1839025190e763fe34c40da4949b77558995cc1a07625
Хеш файла	SHA256=7ce6c15fe7c2fe204791f2a84342d675bac70f8b02ba60520abe6c71719c324b
Хеш файла	SHA256=7d33c6da7558446a31876e0cbd2eb84c5ee0fff32fbfecad542bdd1fabb62b58
Хеш файла	SHA256=4981a3431742dd49f53b3a3d489dab415ea013fc4384f0fba7c26fc254695194
Хеш файла	SHA256=6b1bef5ecdb0b73f80589d478b9482e89a7887d6b1b4f3805828e31c7c39bc83
Хеш файла	SHA256=ef320f7f2d50bd1fb88c5ad4262335e1b394a081ac8bef37c7888e7cc2c9ca44
Хеш файла	SHA256=96916c2909538649c9e6680c0427dda34422370a9f17057f437ea08731656bd8
Хеш файла	SHA256=f9b3d9dec0c31e8e62457b852380beeb350f4b5c8d8d32c6c0c7efbce2b77d51
Хеш файла	SHA256=28fa06c75eb2f60c7f686902aef22384a74734ed348cc36d0fe47591cb1d73d7
Хеш файла	SHA256=96c87a558650d9e209b76bf76ef6a3dd13827b662f664f17c62220a2e0df3b1e
Хеш файла	SHA256=5c71d2b1bf33613e7ed4a3bb6ead6ec9348dae5c3c1b4207ad1c004a44adb0d1
Хеш файла	SHA256=9147a93ef1cf0661018f5edcc251ef2bc23d66e169bde8a4464280e827526770
Хеш файла	SHA256=546e2f4db89519281802e98ad2040d6812c2c1a86d11c2304364d06cbf1e28d8
Хеш файла	SHA256=51b496592340c235ecd295013cdd8c269ea6e4c1e9fd530e918fc7c29056f7ac
Хеш файла	SHA256=a5379d6020ba3e7f84318ab5f9cc24f0bab3f74aa5f0da41a58844cca4c40c0a
Хеш файла	SHA256=8689c4a19433ce898b0a7fba25ec33cdd46cf9a255ae2b93584cc09827a944dc
Хеш файла	SHA256=665d2f08f112a388b9f4e42c50ac5637c64c63278a271cfc03b0331b2f92ab42
